	bio_celltype
pdacb_cell_1148	Ductal - MHC Class II
pdacb_cell_1149	Endothelial cells
pdacb_cell_1150	Ductal - MHC Class II
pdacb_cell_1151	Ductal - terminal ductal like
pdacb_cell_1152	Ductal - terminal ductal like
pdacb_cell_1153	Ductal - terminal ductal like
pdacb_cell_1154	Ductal - MHC Class II
pdacb_cell_1155	Endocrine cells
pdacb_cell_1156	Cancer
pdacb_cell_1157	Ductal - terminal ductal like
pdacb_cell_1158	Cancer
pdacb_cell_1159	Cancer
pdacb_cell_1160	Cancer
pdacb_cell_1161	Cancer
pdacb_cell_1162	Ductal - terminal ductal like
pdacb_cell_1163	Ductal - terminal ductal like
pdacb_cell_1164	Ductal - terminal ductal like
pdacb_cell_1165	Ductal - terminal ductal like
pdacb_cell_1166	Ductal - terminal ductal like
pdacb_cell_1167	Ductal - terminal ductal like
pdacb_cell_1168	Ductal - CRISP3 high
pdacb_cell_1169	Ductal - terminal ductal like
pdacb_cell_1170	Ductal - MHC Class II
pdacb_cell_1172	Cancer
pdacb_cell_1173	Cancer
pdacb_cell_1174	Cancer
pdacb_cell_1175	Ductal - terminal ductal like
pdacb_cell_1176	Endothelial cells
pdacb_cell_1177	Cancer
pdacb_cell_1178	Ductal - terminal ductal like
pdacb_cell_1179	Ductal - terminal ductal like
pdacb_cell_1180	Endothelial cells
pdacb_cell_1181	Ductal - MHC Class II
pdacb_cell_1182	Ductal - CRISP3 high
pdacb_cell_1183	mDCs
pdacb_cell_1184	Ductal - terminal ductal like
pdacb_cell_1185	Endothelial cells
pdacb_cell_1186	Endothelial cells
pdacb_cell_1187	Ductal - terminal ductal like
pdacb_cell_1188	Cancer
pdacb_cell_1189	Mast cells
pdacb_cell_1190	Ductal - terminal ductal like
pdacb_cell_1191	Ductal - MHC Class II
pdacb_cell_1192	Cancer
pdacb_cell_1193	Ductal - terminal ductal like
pdacb_cell_1194	Cancer
pdacb_cell_1195	Ductal - terminal ductal like
pdacb_cell_1196	Endothelial cells
pdacb_cell_1197	Endothelial cells
pdacb_cell_1198	Ductal - CRISP3 high
pdacb_cell_1199	Ductal - terminal ductal like
pdacb_cell_1200	Cancer
pdacb_cell_1201	Ductal - terminal ductal like
pdacb_cell_1202	Ductal - terminal ductal like
pdacb_cell_1203	Ductal - terminal ductal like
pdacb_cell_1204	Ductal - CRISP3 high
pdacb_cell_1205	Endothelial cells
pdacb_cell_1206	Ductal - MHC Class II
pdacb_cell_1207	Cancer
pdacb_cell_1208	Ductal - terminal ductal like
pdacb_cell_1209	Cancer
pdacb_cell_1210	Tuft cells
pdacb_cell_1211	Cancer
pdacb_cell_1212	Cancer
pdacb_cell_1213	Cancer
pdacb_cell_1214	Ductal - terminal ductal like
pdacb_cell_1215	Ductal - terminal ductal like
pdacb_cell_1216	Ductal - terminal ductal like
pdacb_cell_1217	Ductal - terminal ductal like
pdacb_cell_1218	Ductal - terminal ductal like
pdacb_cell_1219	Ductal - terminal ductal like
pdacb_cell_1220	Ductal - terminal ductal like
pdacb_cell_1221	Cancer
pdacb_cell_1222	Ductal - terminal ductal like
pdacb_cell_1223	Cancer
pdacb_cell_1224	Ductal - CRISP3 high
pdacb_cell_1225	Ductal - terminal ductal like
pdacb_cell_1226	Cancer
pdacb_cell_1227	Ductal - MHC Class II
pdacb_cell_1228	Endocrine cells
pdacb_cell_1229	Ductal - terminal ductal like
pdacb_cell_1230	Endothelial cells
pdacb_cell_1231	Cancer
pdacb_cell_1232	Ductal - terminal ductal like
pdacb_cell_1233	Cancer
pdacb_cell_1234	Cancer
pdacb_cell_1235	Endothelial cells
pdacb_cell_1236	Ductal - CRISP3 high
pdacb_cell_1237	Endothelial cells
pdacb_cell_1238	Cancer
pdacb_cell_1239	Ductal - MHC Class II
pdacb_cell_1240	Cancer
pdacb_cell_1241	Ductal - terminal ductal like
pdacb_cell_1242	Ductal - terminal ductal like
pdacb_cell_1243	Cancer
pdacb_cell_1244	Endothelial cells
pdacb_cell_1245	Ductal - CRISP3 high
pdacb_cell_1246	Cancer
pdacb_cell_1247	Mast cells
pdacb_cell_1248	Ductal - terminal ductal like
pdacb_cell_1249	Cancer
pdacb_cell_1250	Ductal - MHC Class II
pdacb_cell_1251	Ductal - terminal ductal like
pdacb_cell_1252	Ductal - terminal ductal like
pdacb_cell_1253	Ductal - terminal ductal like
pdacb_cell_1254	Ductal - MHC Class II
pdacb_cell_1255	Cancer
pdacb_cell_1256	Ductal - CRISP3 high
pdacb_cell_1257	Ductal - terminal ductal like
pdacb_cell_1258	Ductal - terminal ductal like
pdacb_cell_1259	Cancer
pdacb_cell_1260	Cancer
pdacb_cell_1261	Ductal - terminal ductal like
pdacb_cell_1262	Ductal - terminal ductal like
pdacb_cell_1263	Endothelial cells
pdacb_cell_1264	Ductal - terminal ductal like
pdacb_cell_1265	Cancer
pdacb_cell_1266	Cancer
pdacb_cell_1267	Ductal - terminal ductal like
pdacb_cell_1268	Ductal - CRISP3 high
pdacb_cell_1269	Cancer
pdacb_cell_1270	Ductal - CRISP3 high
pdacb_cell_1271	Cancer
pdacb_cell_1272	Tuft cells
pdacb_cell_1273	Ductal - terminal ductal like
pdacb_cell_1274	Ductal - MHC Class II
pdacb_cell_1275	Endothelial cells
pdacb_cell_1276	Endothelial cells
pdacb_cell_1277	Ductal - MHC Class II
pdacb_cell_1278	Cancer
pdacb_cell_1279	Ductal - MHC Class II
pdacb_cell_1280	Cancer
pdacb_cell_1281	Ductal - CRISP3 high
pdacb_cell_1282	Cancer
pdacb_cell_1283	Ductal - terminal ductal like
pdacb_cell_1284	Endothelial cells
pdacb_cell_1285	mDCs
pdacb_cell_1286	Ductal - CRISP3 high
pdacb_cell_1287	Cancer
pdacb_cell_1288	Ductal - MHC Class II
pdacb_cell_1289	Ductal - MHC Class II
pdacb_cell_1290	Ductal - CRISP3 high
pdacb_cell_1291	Ductal - MHC Class II
pdacb_cell_1292	Ductal - MHC Class II
pdacb_cell_1293	Ductal - terminal ductal like
pdacb_cell_1294	Cancer
pdacb_cell_1295	Cancer
pdacb_cell_1296	Ductal - terminal ductal like
pdacb_cell_1297	Ductal - MHC Class II
pdacb_cell_1298	Cancer
pdacb_cell_1299	Endothelial cells
pdacb_cell_1300	Ductal - terminal ductal like
pdacb_cell_1301	Endothelial cells
pdacb_cell_1302	Ductal - CRISP3 high
pdacb_cell_1303	Macrophages
pdacb_cell_1304	Ductal - terminal ductal like
pdacb_cell_1305	Ductal - terminal ductal like
pdacb_cell_1306	Endothelial cells
pdacb_cell_1307	Ductal - MHC Class II
pdacb_cell_1308	Cancer
pdacb_cell_1309	Ductal - MHC Class II
pdacb_cell_1310	Ductal - terminal ductal like
pdacb_cell_1311	Ductal - terminal ductal like
pdacb_cell_1312	Endothelial cells
pdacb_cell_1313	Ductal - terminal ductal like
pdacb_cell_1314	Cancer
pdacb_cell_1315	Cancer
pdacb_cell_1316	Ductal - terminal ductal like
pdacb_cell_1317	Ductal - terminal ductal like
pdacb_cell_1318	Ductal - terminal ductal like
pdacb_cell_1319	Cancer
pdacb_cell_1320	Ductal - terminal ductal like
pdacb_cell_1321	Cancer
pdacb_cell_1322	Ductal - terminal ductal like
pdacb_cell_1323	Endothelial cells
pdacb_cell_1324	Cancer
pdacb_cell_1325	Ductal - terminal ductal like
pdacb_cell_1326	Ductal - MHC Class II
pdacb_cell_1327	Ductal - MHC Class II
pdacb_cell_1328	Ductal - MHC Class II
pdacb_cell_1329	Ductal - MHC Class II
pdacb_cell_1330	Cancer
pdacb_cell_1331	Endothelial cells
pdacb_cell_1332	Ductal - MHC Class II
pdacb_cell_1333	Ductal - terminal ductal like
pdacb_cell_1334	Ductal - CRISP3 high
pdacb_cell_1335	Ductal - terminal ductal like
pdacb_cell_1336	Ductal - terminal ductal like
pdacb_cell_1337	Ductal - terminal ductal like
pdacb_cell_1338	Ductal - terminal ductal like
pdacb_cell_1339	Cancer
pdacb_cell_1340	Ductal - terminal ductal like
pdacb_cell_1341	Endothelial cells
pdacb_cell_1342	Ductal - terminal ductal like
pdacb_cell_1343	Ductal - terminal ductal like
pdacb_cell_1344	Tuft cells
pdacb_cell_1345	Ductal - MHC Class II
pdacb_cell_1346	Ductal - terminal ductal like
pdacb_cell_1347	Ductal - terminal ductal like
pdacb_cell_1348	Tuft cells
pdacb_cell_1349	Ductal - terminal ductal like
pdacb_cell_1350	Tuft cells
pdacb_cell_1351	Cancer
pdacb_cell_1352	Ductal - terminal ductal like
pdacb_cell_1353	Ductal - terminal ductal like
pdacb_cell_1354	Cancer
pdacb_cell_1355	Ductal - MHC Class II
pdacb_cell_1356	Endothelial cells
pdacb_cell_1357	Ductal - terminal ductal like
pdacb_cell_1358	Ductal - terminal ductal like
pdacb_cell_1359	Cancer
pdacb_cell_1360	Mast cells
pdacb_cell_1361	Cancer
pdacb_cell_1362	Endothelial cells
pdacb_cell_1363	Ductal - terminal ductal like
pdacb_cell_1364	Endothelial cells
pdacb_cell_1365	Ductal - terminal ductal like
pdacb_cell_1366	Ductal - terminal ductal like
pdacb_cell_1367	Endothelial cells
pdacb_cell_1368	Ductal - terminal ductal like
pdacb_cell_1369	Endocrine cells
pdacb_cell_1370	Ductal - CRISP3 high
pdacb_cell_1371	Ductal - terminal ductal like
pdacb_cell_1372	Ductal - terminal ductal like
pdacb_cell_1373	Ductal - CRISP3 high
pdacb_cell_1374	Ductal - CRISP3 high
pdacb_cell_1375	Cancer
pdacb_cell_1376	Ductal - terminal ductal like
pdacb_cell_1377	Endothelial cells
pdacb_cell_1378	Cancer
pdacb_cell_1379	Ductal - terminal ductal like
pdacb_cell_1380	Ductal - terminal ductal like
pdacb_cell_1381	Ductal - terminal ductal like
pdacb_cell_1382	Tuft cells
pdacb_cell_1383	Ductal - MHC Class II
pdacb_cell_1384	Ductal - terminal ductal like
pdacb_cell_1385	Endothelial cells
pdacb_cell_1386	Ductal - terminal ductal like
pdacb_cell_1387	Endothelial cells
pdacb_cell_1388	Ductal - CRISP3 high
pdacb_cell_1389	Endothelial cells
pdacb_cell_1390	Ductal - terminal ductal like
pdacb_cell_1391	Ductal - terminal ductal like
pdacb_cell_1392	Ductal - terminal ductal like
pdacb_cell_1393	Cancer
pdacb_cell_1394	Endothelial cells
pdacb_cell_1395	Cancer
pdacb_cell_1396	Ductal - terminal ductal like
pdacb_cell_1397	Ductal - terminal ductal like
pdacb_cell_1398	Ductal - terminal ductal like
pdacb_cell_1399	Endothelial cells
pdacb_cell_1400	Cancer
pdacb_cell_1401	Ductal - CRISP3 high
pdacb_cell_1402	Cancer
pdacb_cell_1403	Ductal - MHC Class II
pdacb_cell_1404	Ductal - CRISP3 high
pdacb_cell_1405	mDCs
pdacb_cell_1406	Ductal - MHC Class II
pdacb_cell_1407	Ductal - MHC Class II
pdacb_cell_1408	Ductal - terminal ductal like
pdacb_cell_1409	Ductal - MHC Class II
pdacb_cell_1410	Ductal - terminal ductal like
pdacb_cell_1411	Ductal - terminal ductal like
pdacb_cell_1412	Endothelial cells
pdacb_cell_1413	Macrophages
pdacb_cell_1414	Endothelial cells
pdacb_cell_1415	Endothelial cells
pdacb_cell_1416	Ductal - terminal ductal like
pdacb_cell_1417	Ductal - CRISP3 high
pdacb_cell_1418	Ductal - terminal ductal like
pdacb_cell_1419	Endothelial cells
pdacb_cell_1420	Ductal - terminal ductal like
pdacb_cell_1421	Endothelial cells
pdacb_cell_1422	Ductal - CRISP3 high
pdacb_cell_1423	Cancer
pdacb_cell_1424	Ductal - terminal ductal like
pdacb_cell_1425	Tuft cells
pdacb_cell_1426	Ductal - terminal ductal like
pdacb_cell_1427	Ductal - terminal ductal like
pdacb_cell_1428	Cancer
pdacb_cell_1429	Ductal - terminal ductal like
pdacb_cell_1430	Ductal - terminal ductal like
pdacb_cell_1431	Ductal - terminal ductal like
pdacb_cell_1432	Endothelial cells
pdacb_cell_1433	Ductal - terminal ductal like
pdacb_cell_1434	Endothelial cells
pdacb_cell_1435	Ductal - terminal ductal like
pdacb_cell_1436	Ductal - terminal ductal like
pdacb_cell_1437	Ductal - terminal ductal like
pdacb_cell_1438	Cancer
pdacb_cell_1439	Cancer
pdacb_cell_1440	Ductal - terminal ductal like
pdacb_cell_1441	Ductal - terminal ductal like
pdacb_cell_1442	Ductal - terminal ductal like
pdacb_cell_1443	Cancer
pdacb_cell_1444	Ductal - CRISP3 high
pdacb_cell_1445	Ductal - terminal ductal like
pdacb_cell_1446	Ductal - terminal ductal like
pdacb_cell_1447	Ductal - terminal ductal like
pdacb_cell_1448	Ductal - terminal ductal like
pdacb_cell_1449	Ductal - terminal ductal like
pdacb_cell_1450	Ductal - terminal ductal like
pdacb_cell_1451	Cancer
pdacb_cell_1452	Ductal - terminal ductal like
pdacb_cell_1453	Ductal - terminal ductal like
pdacb_cell_1454	Ductal - MHC Class II
pdacb_cell_1455	Cancer
pdacb_cell_1456	Ductal - terminal ductal like
pdacb_cell_1457	Ductal - CRISP3 high
pdacb_cell_1458	Ductal - CRISP3 high
pdacb_cell_1459	Ductal - terminal ductal like
pdacb_cell_1460	Cancer
pdacb_cell_1461	Ductal - MHC Class II
pdacb_cell_1462	Ductal - terminal ductal like
pdacb_cell_1463	Cancer
pdacb_cell_1464	Ductal - CRISP3 high
pdacb_cell_1465	Cancer
pdacb_cell_1466	Ductal - MHC Class II
pdacb_cell_1467	Endothelial cells
pdacb_cell_1468	mDCs
pdacb_cell_1469	Ductal - MHC Class II
pdacb_cell_1470	Cancer
pdacb_cell_1471	Ductal - terminal ductal like
pdacb_cell_1472	Cancer
pdacb_cell_1473	Ductal - MHC Class II
pdacb_cell_1474	Cancer
pdacb_cell_1475	Ductal - CRISP3 high
pdacb_cell_1476	Ductal - CRISP3 high
pdacb_cell_1477	Endothelial cells
pdacb_cell_1478	Ductal - terminal ductal like
pdacb_cell_1479	Ductal - terminal ductal like
pdacb_cell_1480	Ductal - terminal ductal like
pdacb_cell_1481	Endothelial cells
pdacb_cell_1482	Endothelial cells
pdacb_cell_1483	Tuft cells
pdacb_cell_1484	Ductal - terminal ductal like
pdacb_cell_1485	Endothelial cells
pdacb_cell_1486	Ductal - terminal ductal like
pdacb_cell_1487	Ductal - CRISP3 high
pdacb_cell_1488	Cancer
pdacb_cell_1489	Ductal - terminal ductal like
pdacb_cell_1490	Ductal - terminal ductal like
pdacb_cell_1491	Ductal - terminal ductal like
pdacb_cell_1492	Ductal - terminal ductal like
pdacb_cell_1493	Cancer
pdacb_cell_1494	Ductal - terminal ductal like
pdacb_cell_1495	mDCs
pdacb_cell_1496	Ductal - MHC Class II
pdacb_cell_1497	Tuft cells
pdacb_cell_1498	Endothelial cells
pdacb_cell_1499	Cancer
pdacb_cell_1500	mDCs
pdacb_cell_1501	Ductal - terminal ductal like
pdacb_cell_1502	Tuft cells
pdacb_cell_1503	Ductal - MHC Class II
pdacb_cell_1504	Ductal - terminal ductal like
pdacb_cell_1505	Ductal - MHC Class II
pdacb_cell_1506	Ductal - MHC Class II
pdacb_cell_1507	Cancer
pdacb_cell_1508	Ductal - CRISP3 high
pdacb_cell_1509	Endothelial cells
pdacb_cell_1510	Ductal - CRISP3 high
pdacb_cell_1511	Ductal - terminal ductal like
pdacb_cell_1512	Cancer
pdacb_cell_1513	Cancer
pdacb_cell_1514	Endothelial cells
pdacb_cell_1515	Ductal - CRISP3 high
pdacb_cell_1516	mDCs
pdacb_cell_1517	Cancer
pdacb_cell_1518	mDCs
pdacb_cell_1519	Ductal - terminal ductal like
pdacb_cell_1520	Ductal - terminal ductal like
pdacb_cell_1521	Ductal - MHC Class II
pdacb_cell_1522	Ductal - CRISP3 high
pdacb_cell_1523	Endothelial cells
pdacb_cell_1524	Ductal - terminal ductal like
pdacb_cell_1525	Cancer
pdacb_cell_1526	Cancer
pdacb_cell_1527	Ductal - MHC Class II
pdacb_cell_1528	Cancer
pdacb_cell_1529	Ductal - terminal ductal like
pdacb_cell_1530	Ductal - MHC Class II
pdacb_cell_1531	Ductal - CRISP3 high
pdacb_cell_1532	Cancer
pdacb_cell_1533	Ductal - terminal ductal like
pdacb_cell_1534	Cancer
pdacb_cell_1535	Endothelial cells
pdacb_cell_1536	Ductal - terminal ductal like
pdacb_cell_1537	Cancer
pdacb_cell_1538	Ductal - CRISP3 high
pdacb_cell_1539	Ductal - MHC Class II
pdacb_cell_1540	Ductal - terminal ductal like
pdacb_cell_1541	Ductal - CRISP3 high
pdacb_cell_1542	Endocrine cells
pdacb_cell_1543	Cancer
pdacb_cell_1544	Ductal - terminal ductal like
pdacb_cell_1545	Ductal - MHC Class II
pdacb_cell_1546	Ductal - terminal ductal like
pdacb_cell_1547	Cancer
pdacb_cell_1548	Ductal - terminal ductal like
pdacb_cell_1549	Ductal - terminal ductal like
pdacb_cell_1550	Ductal - CRISP3 high
pdacb_cell_1551	Ductal - terminal ductal like
pdacb_cell_1552	Ductal - terminal ductal like
pdacb_cell_1553	mDCs
pdacb_cell_1554	Ductal - terminal ductal like
pdacb_cell_1555	Ductal - CRISP3 high
pdacb_cell_1556	Cancer
pdacb_cell_1557	Cancer
pdacb_cell_1558	Endothelial cells
pdacb_cell_1559	Ductal - terminal ductal like
pdacb_cell_1560	Ductal - terminal ductal like
pdacb_cell_1561	Ductal - CRISP3 high
pdacb_cell_1562	Ductal - terminal ductal like
pdacb_cell_1563	Ductal - MHC Class II
pdacb_cell_1564	Ductal - CRISP3 high
pdacb_cell_1565	Ductal - MHC Class II
pdacb_cell_1566	Cancer
pdacb_cell_1567	Cancer
pdacb_cell_1568	Cancer
pdacb_cell_1569	Ductal - terminal ductal like
pdacb_cell_1570	Ductal - terminal ductal like
pdacb_cell_1571	Ductal - terminal ductal like
pdacb_cell_1572	Ductal - MHC Class II
pdacb_cell_1573	Ductal - terminal ductal like
pdacb_cell_1574	Endothelial cells
pdacb_cell_1575	Ductal - MHC Class II
pdacb_cell_1576	Cancer
pdacb_cell_1577	Tuft cells
pdacb_cell_1578	Cancer
pdacb_cell_1579	Ductal - terminal ductal like
pdacb_cell_1580	Ductal - CRISP3 high
pdacb_cell_1581	Ductal - CRISP3 high
pdacb_cell_1582	Tuft cells
pdacb_cell_1583	Ductal - terminal ductal like
pdacb_cell_1584	Cancer
pdacb_cell_1585	Ductal - CRISP3 high
pdacb_cell_1586	Cancer
pdacb_cell_1587	Ductal - terminal ductal like
pdacb_cell_1588	Cancer
pdacb_cell_1589	Cancer
pdacb_cell_1590	Ductal - terminal ductal like
pdacb_cell_1591	Cancer
pdacb_cell_1592	Ductal - terminal ductal like
pdacb_cell_1593	Ductal - MHC Class II
pdacb_cell_1594	Cancer
pdacb_cell_1595	Endothelial cells
pdacb_cell_1596	Ductal - CRISP3 high
pdacb_cell_1597	Ductal - terminal ductal like
pdacb_cell_1598	Ductal - CRISP3 high
pdacb_cell_1599	Cancer
pdacb_cell_1600	Endothelial cells
pdacb_cell_1601	Endothelial cells
pdacb_cell_1602	Ductal - CRISP3 high
pdacb_cell_1603	Endothelial cells
pdacb_cell_1604	Ductal - terminal ductal like
pdacb_cell_1605	Ductal - terminal ductal like
pdacb_cell_1606	Ductal - CRISP3 high
pdacb_cell_1607	Cancer
pdacb_cell_1608	Ductal - MHC Class II
pdacb_cell_1609	Endothelial cells
pdacb_cell_1610	Ductal - terminal ductal like
pdacb_cell_1611	Ductal - CRISP3 high
pdacb_cell_1612	Ductal - CRISP3 high
pdacb_cell_1613	Ductal - MHC Class II
pdacb_cell_1614	Cancer
pdacb_cell_1615	Ductal - terminal ductal like
pdacb_cell_1616	Ductal - terminal ductal like
pdacb_cell_1617	Ductal - terminal ductal like
pdacb_cell_1618	Ductal - terminal ductal like
pdacb_cell_1619	Ductal - MHC Class II
pdacb_cell_1620	Cancer
pdacb_cell_1621	Ductal - terminal ductal like
pdacb_cell_1622	Ductal - CRISP3 high
pdacb_cell_1623	Ductal - terminal ductal like
pdacb_cell_1624	Ductal - terminal ductal like
pdacb_cell_1625	Ductal - CRISP3 high
pdacb_cell_1626	Ductal - CRISP3 high
pdacb_cell_1627	Ductal - CRISP3 high
pdacb_cell_1628	Endothelial cells
pdacb_cell_1629	Endothelial cells
pdacb_cell_1630	Ductal - MHC Class II
pdacb_cell_1631	mDCs
pdacb_cell_1632	Ductal - terminal ductal like
pdacb_cell_1633	Ductal - MHC Class II
pdacb_cell_1634	Ductal - CRISP3 high
pdacb_cell_1635	Mast cells
pdacb_cell_1636	Ductal - MHC Class II
pdacb_cell_1637	Ductal - MHC Class II
pdacb_cell_1638	Ductal - CRISP3 high
pdacb_cell_1639	Ductal - CRISP3 high
pdacb_cell_1640	Ductal - terminal ductal like
pdacb_cell_1641	Ductal - terminal ductal like
pdacb_cell_1642	Cancer
pdacb_cell_1643	Cancer
pdacb_cell_1644	Ductal - CRISP3 high
pdacb_cell_1645	Ductal - terminal ductal like
pdacb_cell_1646	Ductal - CRISP3 high
pdacb_cell_1647	Ductal - MHC Class II
pdacb_cell_1648	Ductal - terminal ductal like
pdacb_cell_1649	Ductal - MHC Class II
pdacb_cell_1650	mDCs
pdacb_cell_1651	Cancer
pdacb_cell_1652	Cancer
pdacb_cell_1653	Ductal - terminal ductal like
pdacb_cell_1654	Endothelial cells
pdacb_cell_1655	Cancer
pdacb_cell_1656	Ductal - terminal ductal like
pdacb_cell_1657	Mast cells
pdacb_cell_1658	Cancer
pdacb_cell_1659	Ductal - terminal ductal like
pdacb_cell_1660	mDCs
pdacb_cell_1661	Cancer
pdacb_cell_1662	Macrophages
pdacb_cell_1663	Ductal - terminal ductal like
pdacb_cell_1664	Ductal - terminal ductal like
pdacb_cell_1665	Ductal - MHC Class II
pdacb_cell_1666	Ductal - terminal ductal like
pdacb_cell_1667	Ductal - terminal ductal like
pdacb_cell_1668	mDCs
pdacb_cell_1669	Cancer
pdacb_cell_1670	Endothelial cells
pdacb_cell_1671	Tuft cells
pdacb_cell_1672	Endothelial cells
pdacb_cell_1673	Endothelial cells
pdacb_cell_1674	Ductal - CRISP3 high
pdacb_cell_1675	mDCs
pdacb_cell_1676	Ductal - MHC Class II
pdacb_cell_1677	Endothelial cells
pdacb_cell_1678	Ductal - CRISP3 high
pdacb_cell_1679	Cancer
pdacb_cell_1680	Ductal - MHC Class II
pdacb_cell_1681	Mast cells
pdacb_cell_1682	Cancer
pdacb_cell_1683	Ductal - terminal ductal like
pdacb_cell_1684	Cancer
pdacb_cell_1685	Ductal - terminal ductal like
pdacb_cell_1686	Ductal - terminal ductal like
pdacb_cell_1687	Ductal - terminal ductal like
pdacb_cell_1688	Cancer
pdacb_cell_1689	Cancer
pdacb_cell_1690	Ductal - terminal ductal like
pdacb_cell_1691	Cancer
pdacb_cell_1692	Ductal - terminal ductal like
pdacb_cell_1693	Ductal - terminal ductal like
pdacb_cell_1694	Ductal - terminal ductal like
pdacb_cell_1695	Cancer
pdacb_cell_1696	Cancer
pdacb_cell_1697	Ductal - terminal ductal like
pdacb_cell_1698	Ductal - terminal ductal like
pdacb_cell_1699	Mast cells
pdacb_cell_1700	Tuft cells
pdacb_cell_1701	Ductal - terminal ductal like
pdacb_cell_1702	Ductal - terminal ductal like
pdacb_cell_1703	Ductal - MHC Class II
pdacb_cell_1704	Mast cells
pdacb_cell_1705	Mast cells
pdacb_cell_1706	Ductal - CRISP3 high
pdacb_cell_1707	Monocytes
pdacb_cell_1708	Cancer
pdacb_cell_1709	Endothelial cells
pdacb_cell_1710	Ductal - terminal ductal like
pdacb_cell_1711	Tuft cells
pdacb_cell_1712	Ductal - terminal ductal like
pdacb_cell_1713	Ductal - terminal ductal like
pdacb_cell_1714	Macrophages
pdacb_cell_1715	Ductal - terminal ductal like
pdacb_cell_1716	Cancer
pdacb_cell_1717	Ductal - terminal ductal like
pdacb_cell_1718	Monocytes
pdacb_cell_1719	Ductal - terminal ductal like
pdacb_cell_1720	Ductal - terminal ductal like
pdacb_cell_1721	Cancer
pdacb_cell_1722	Macrophages
pdacb_cell_1723	Ductal - terminal ductal like
pdacb_cell_1724	Ductal - terminal ductal like
pdacb_cell_1725	Monocytes
pdacb_cell_1726	Monocytes
pdacb_cell_1727	Cancer
pdacb_cell_1728	Monocytes
pdacb_cell_1729	Cancer
pdacb_cell_1730	Ductal - terminal ductal like
pdacb_cell_1731	Monocytes
